melhorar,cluster,micro
Consertem o ranking,Geral,Plataforma
"O que eu achava que podia melhorar era em relação a contagem de horas/porcentagem do conteúdo os slots, mas o Breno apresentou mudanças na página, ficando bem melhor do que eu queria. ",-,-
TUDO TOP,-,-
No momento sem comentários.,-,-
"No momento, todas as questões que eu achava que poderiam melhorar da IP 1.0 pra 2.0 foram melhoradas (melhor distribuição de conteúdo pra não ficar tão corrido, dinâmicas mais desafiadoras)",-,-
N/A,-,-
O curso exige Muito para ser bem feito. É praticamente impossível conciliar para qualquer pessoa que trabalhe,Slot,Carga Horária
.,-,-
"Aproveitando todas as melhorias na plataforma das aulas eu sinto falta de um ""botão"" onde podemos deixar uma aula rodar automaticamente após o final da aula anterior, sem precisar ficar selecionando aula por aula para poder assistir. Não sei se já estão pensando nisso, mas pra mim é um ponto que seria bem bacana se tivesse. No mais por enquanto está bom, as melhorias estão muito bacanas.",Geral,Plataforma
"Gostaria de ver mais aplicações, falamos geralmente sempre dos mesmos exemplos.",Day,Conteúdo
"Somente sobre os termos , muitas pessoas não estão acostumado com os termos em inglês, talves durante da uma explicada. Exemplo se for falar da sprint o que é sprint?",Geral,Comunicação
por enquanto ta perfeito,-,-
"Manter os grupos de projeto para dinâmica,  isso ia ajudar no projeto real",Day,Estrutura
"gostei das duvidas pontuais, porém não acho que o day seja para conversar dos projetos pontuais, tem mentoria para isso",Day,Estrutura
Tempo dos days longos,Day,Carga Horária
desnecessário tantas horas repetindo a mesma coisa q assistimos nos videos,Day,Carga Horária
"O day de hoje foi muito extenso, se torna cansativo quando vai até as 18:00. 
",Day,Carga Horária
"O compromisso com o tempo juntamente com a pausa de 2hrs para almoçar 
",Day,Carga Horária
"- Alguns erros da plataforma, mas acredito que houve uma melhora do slot 2 pro slot 3

",Geral,Plataforma
"- Na aula de hoje, descobri algo do SIPOC que não tinha ficado claro para o meu grupo nas aulas. Por isso, algumas coisas acredito que precisam ficar mais claras. 
",Slot,Estrutura
"- As entregas para o slot 4 não ficaram muito bem organizadas, não tem nenhum documento que temos que entregar que analisa as causas do erro no processo. Claro que podemos fazer isso a parte, mas acredito que precisamos entregar isso pra DNC. 
",Slot,Materiais
Podem melhorar nso bugs da plataforma. O curso foi redesenhado e muitas coisas estão com nomes errados e materiais errados,Geral,Plataforma
Podem melhorar nso bugs da plataforma. O curso foi redesenhado e muitas coisas estão com nomes errados e materiais errados,Slot,Materiais
"não há pontos a melhorar
",-,-
"No momento, otimizar os recursos que dependem da integrações de DBs e APIs que foram disponibilizados. Nesse exemplo, enquadram-se ranking, presenças e afins.

Além disso, revisar parâmetros de correção. Nesse ponto cabem algumas observações importantes: ao restringir os critérios de correção a um gabarito listado, o comportamento dos alunos tende a ser nivelado por baixo, restringindo seu raciocínio analítico e buscando se enquadrar nos critérios exigidos. É um risco no resultado global do curso a longo prazo, considerando o momento de expansão da escola. Garantir que corretores não estejam sobrecarregados, de forma com que possam corrigir assignments e deliverables baseado no raciocínio dos alunos, ao invés de um guia de certo x errado (o que não necessariamente existe na prática do mundo real). Caso contrário, essa parte de correção seguirá exatamente a mesma lógica de instituições tradicionais de ensino, nas quais os gabaritos são direcionados a monitores e ocorre um acúmulo desproporcional de correções imprecisas.",Geral,Plataforma
"No momento, otimizar os recursos que dependem da integrações de DBs e APIs que foram disponibilizados. Nesse exemplo, enquadram-se ranking, presenças e afins.

Além disso, revisar parâmetros de correção. Nesse ponto cabem algumas observações importantes: ao restringir os critérios de correção a um gabarito listado, o comportamento dos alunos tende a ser nivelado por baixo, restringindo seu raciocínio analítico e buscando se enquadrar nos critérios exigidos. É um risco no resultado global do curso a longo prazo, considerando o momento de expansão da escola. Garantir que corretores não estejam sobrecarregados, de forma com que possam corrigir assignments e deliverables baseado no raciocínio dos alunos, ao invés de um guia de certo x errado (o que não necessariamente existe na prática do mundo real). Caso contrário, essa parte de correção seguirá exatamente a mesma lógica de instituições tradicionais de ensino, nas quais os gabaritos são direcionados a monitores e ocorre um acúmulo desproporcional de correções imprecisas.",Slot,Assignment
"Sei que a plataforma está passando por varias alterações e melhorias
E isso é muito legal
Mas a parte do ranking ainda vai me fazer infartar
Ainda não tirei os olhos no pódio e esse ranking tá matando meu sonho",Geral,Plataforma
"Acompanhamento individual do grupo do projeto, além das mentorias em grupo. O nosso grupo perdeu várias pessoas e algumas não estão entregam como deveriam, isso dificulta o desenvolvimento do projeto. Se houvesse este acompanhamento facilitaria a visão dos consultores da dnc. 
A dificuldade que senti nestes últimos slots, é as dinâmicas sobre os assuntos serem depois da entrega. Alguns pontos ficam claros apenas depois dos Days. ",Projeto,Suporte projeto
"Acompanhamento individual do grupo do projeto, além das mentorias em grupo. O nosso grupo perdeu várias pessoas e algumas não estão entregam como deveriam, isso dificulta o desenvolvimento do projeto. Se houvesse este acompanhamento facilitaria a visão dos consultores da dnc. 
A dificuldade que senti nestes últimos slots, é as dinâmicas sobre os assuntos serem depois da entrega. Alguns pontos ficam claros apenas depois dos Days. ",Slot,Estrutura
-,-,-
"Na execução do SIPOC, nas videos aulas não ficou tão claro a questão de mensurar os imputs como explicado pelo Breno na Day de hoje. ",Slot,Estrutura
Por enquanto não tenho pontos de melhoria.,-,-
"Acho que podia durar um pouco mais, esta dificil de acompanhar",Day,Carga Horária
Maior velocidade nas respostas do slack,Geral,Suporte dnc
"Gostaria de uma visão melhor sobre os feedbacks no dnc.score, no nosso dashboard só aparece do nosso grupo oficial e não o das dinâmicas dos days. ",Geral,Plataforma
.,-,-
até agora estou gostando,-,-
.,-,-
.,-,-
.,-,-
.,-,-
Não tenho comentários a fazer,-,-
Deixar mais tempo entre os Slots..,Slot,Carga Horária
n/a,-,-
"O conteúdo das aulas com exemplo em áreas diferentes.
Nesse slot ficou bem confuso em relação ao SIPOC.",Slot,Estrutura
"Abreviar as falas e apresentações nos days, pois chega no final do dia já estamos cansados. Muitas vezes ficam repetindo informações, o que acaba sendo desnecessário. Ter a meta de liberar no máximo às 18h.",Day,Carga Horária
Não veio nada em mente dessa vez.,-,-
Essas aulas longas,Day,Carga Horária
O tempo dessa dinâmica ja foi melhor.,Day,Dinâmica
bom,-,-
"- Sistema de pontuação e ranking é inconsistente. É necessário uma boa reformulação deste processo, vejo muito alunos com a mesma reclamação.

- Poderia ter um facilitador (ouvinte) em algumas calls com o cliente, para dar um feedback de direcionamento para o grupo.

- Os documentos de auxilio para download (imagens e pdf's) estão vindo com baixa qualidade. Por exemplo, no Mapa de Processo, não é possível enxergar com clareza as informações do diagrama.

- Controles nas vídeo aulas:  botões de avanço e retorno ( avança 10s / retorna 10s)

- Os documentos do Deliverable poderiam ser entregues separados, não tudo no mesmo arquivo PDF! Por exemplo: Formulário de perguntas em um, parte do projeto em outros arquivos, tudo dentro de uma pasta .zip . Isso facilitaria a separação das etapas com a equipe, sem precisar unir tudo, sem correr o risco de perder as formatações e ter que editar tudo de novo rs.",Geral,Plataforma
"- Sistema de pontuação e ranking é inconsistente. É necessário uma boa reformulação deste processo, vejo muito alunos com a mesma reclamação.

- Poderia ter um facilitador (ouvinte) em algumas calls com o cliente, para dar um feedback de direcionamento para o grupo.

- Os documentos de auxilio para download (imagens e pdf's) estão vindo com baixa qualidade. Por exemplo, no Mapa de Processo, não é possível enxergar com clareza as informações do diagrama.

- Controles nas vídeo aulas:  botões de avanço e retorno ( avança 10s / retorna 10s)

- Os documentos do Deliverable poderiam ser entregues separados, não tudo no mesmo arquivo PDF! Por exemplo: Formulário de perguntas em um, parte do projeto em outros arquivos, tudo dentro de uma pasta .zip . Isso facilitaria a separação das etapas com a equipe, sem precisar unir tudo, sem correr o risco de perder as formatações e ter que editar tudo de novo rs.",Projeto,Suporte projeto
"- Sistema de pontuação e ranking é inconsistente. É necessário uma boa reformulação deste processo, vejo muito alunos com a mesma reclamação.

- Poderia ter um facilitador (ouvinte) em algumas calls com o cliente, para dar um feedback de direcionamento para o grupo.

- Os documentos de auxilio para download (imagens e pdf's) estão vindo com baixa qualidade. Por exemplo, no Mapa de Processo, não é possível enxergar com clareza as informações do diagrama.

- Controles nas vídeo aulas:  botões de avanço e retorno ( avança 10s / retorna 10s)

- Os documentos do Deliverable poderiam ser entregues separados, não tudo no mesmo arquivo PDF! Por exemplo: Formulário de perguntas em um, parte do projeto em outros arquivos, tudo dentro de uma pasta .zip . Isso facilitaria a separação das etapas com a equipe, sem precisar unir tudo, sem correr o risco de perder as formatações e ter que editar tudo de novo rs.",Slot,Materiais
"- Sistema de pontuação e ranking é inconsistente. É necessário uma boa reformulação deste processo, vejo muito alunos com a mesma reclamação.

- Poderia ter um facilitador (ouvinte) em algumas calls com o cliente, para dar um feedback de direcionamento para o grupo.

- Os documentos de auxilio para download (imagens e pdf's) estão vindo com baixa qualidade. Por exemplo, no Mapa de Processo, não é possível enxergar com clareza as informações do diagrama.

- Controles nas vídeo aulas:  botões de avanço e retorno ( avança 10s / retorna 10s)

- Os documentos do Deliverable poderiam ser entregues separados, não tudo no mesmo arquivo PDF! Por exemplo: Formulário de perguntas em um, parte do projeto em outros arquivos, tudo dentro de uma pasta .zip . Isso facilitaria a separação das etapas com a equipe, sem precisar unir tudo, sem correr o risco de perder as formatações e ter que editar tudo de novo rs.",Projeto,Deliverable
Apoio,Geral,Suporte dnc
nda a comentar,-,-
Sem considerações.,-,-
Por enquanto nada,-,-
"A plataforma ainda apresenta certos probleminhas, mas a evolução é constante!",Geral,Plataforma
.,-,-
até o momento tudo ótimo,-,-
"A apostila não é a coisa mais usual ainda, se tivesse uma apostila maior com espiral e com páginas de anotações dentre os capítulos tornaria ela bem mais interessante.",Slot,Materiais
Não tenho pontos a melhorar no momento.,-,-
Não tenho pontos a melhorar no momento.,-,-
"Acho que poderia melhorar algumas aulas quando fala que tem o pdf.
O projeto poderia ser feito depois do curso, pois a dedicação seria mil vez maior",Slot,Materiais
"Acho que poderia melhorar algumas aulas quando fala que tem o pdf.
O projeto poderia ser feito depois do curso, pois a dedicação seria mil vez maior",Slot,Carga Horária
Nada até o momento,-,-
"Portal do aluno, está difícil para fazer a troca de email para CPF, dificultando a entrada nos conteúdo do portal.",Geral,Plataforma
"Dinâmica dos days, ",Day,Dinâmica
O tempo para execução das atividades - seria interessante testar internamente um tempo médio para execução.,Day,Estrutura
Atualizar o deliverable com a matéria didática,Projeto,Deliverable
esta bem como está,-,-
"Ter mais exemplos nos slot, muito cansativo ficar tempo todo só ouvindo.",Slot,Exercícios
Clareza na hora de nos enviar e pedir atividades nos templates que nos enviam.,Slot,Materiais
Por enquanto nada.,-,-
N/a,-,-
"Os horários estão se estendendo um pouco do que o ""combinado"".",Day,Carga Horária
TUDO MUITO BOM CONTINUEM ASSIM,-,
Nada a acresentar!,-,
organização dos slots,-,
"O acompanhamento dos grupos dos projetos. Meu grupo (11) não tem feito nada com base no scrum, temos apenas entregado os trabalhos. Estou pedindo realocação. Talvez com uma participação ou cobrança mais ativa durante a semana por alguém da DNC, falando no whatsapp também, além do slack, gerasse maior engajamento e melhorasse esse acompanhamento. Acredito que o problema do grupo 11 não tenha mais solução, mas contatos há 2 days atrás poderiam ter feito a diferença.",Projeto,Suporte projeto
.,-,
aprofundar mais o que será visto nos days e nas avaliações individuais,Slot,Estrutura
"Organização das aulas e das entregas, pois as vezes fica confuso.",Slot,Estrutura
"sei que são empresas reais com problemas reais, porém elas precisam estar mais abertas as vezes a entrada da dnc para coleta de dados e pequenas implementações.  Seria legal talvez ter um pré requisito mais firme sobre o que eles precisam estar dispostos a fazer no projeto e até onde podemos ir.

Talvez empresas com nomes ocultados e base de dados com nomes genéricos seria uma boa ideia e facilitaria a abertura. Empresa Ponei Fragrancia fabrica perfumes e cremes, porém os frascos estão com muita variabilidade de cheiro e de volume na linha Cheiros de Ponei. Não precisa falar que é a linha Ekos da Natura.",Projeto,Problemas com a empresa
"Days muito longos, podiam ser mais enxutos.",Day,Carga horária
Nada.,-,
"Melhorar sobre as revisões de notas, possibilidades",Slot,Assignment
"Acredito que os erros nas aulas tem diminuído ao longo do curso, ponto super positivo. Algumas atividades da entrega, como o Tree Map da última, achei um pouco redundante por causa que já tínhamos feito o levantamento das hipóteses e Ishikawa, mas entendo que pode ser que tenham grupos que não tinha feito ainda. No mais, só melhorar alguns erros pontuais, mas no geral ta sendo o melhor curso que eu já fiz.",Projeto,Deliverable
"No ultimo slot achei as aulas maçantes, repetitivas.",Slot,Estrutura
-,-,
"Dinâmica dos projetos
Critérios de correção dos assignments e deliverables
Clareza da pontuação do ranking",Geral,Plataforma
"Dinâmica dos projetos
Critérios de correção dos assignments e deliverables
Clareza da pontuação do ranking",Projeto,Deliverable
"Dinâmica dos projetos
Critérios de correção dos assignments e deliverables
Clareza da pontuação do ranking",Slot,Assigntment
"Dinâmica dos projetos
Critérios de correção dos assignments e deliverables
Clareza da pontuação do ranking",Day,Dinâmica
"Days poderiam ser melhor aproveitados, muito tempo pra pouco conteudo.",Day,Carga horária
-,-,
Sem comentarios,-,
Algumas atividades do delivareble parecem ser o tanto quanto repetitivas. Não achei proveitoso fazer esse Tree Map nesse momento.,Projeto,Deliverable
Sem comentários.,-,
avisar que o Minitab online não cola os dados do Excel. Tem que instalar mesmo antes do day.,Day,Sistemas
"Nesse slot tivemos alguns problemas na plataforma que acabou nos atrasando e atrapalhando um pouco, então pode ser um ponto de atenção, mas de resto esta tudo ótimo como sempre.",Geral,Plataforma
"A Plataforma apresenta algumas instabilidades e falhas, desde a pontuacao/ranking ate algumas aulas que ano apresnetam o conteudo (ao apresentar uma planilha ou grafico no video, a tela fica preta). Alem disso, o livro possui alguns problemas envolvendo revisao. Tirando esses aspecto, o conteudo das aulas sao muito bons!
O curso eh muito bom ao ponto que faria ele novamente, mas vejo esses problemas com certa frequencia e isso atrapalha um pouco a minha experiencia e as dos demais alunos (meu grupo sempre comenta sobre esses pontos)",Geral,Plataforma
.,-,
.,-,
na,-,
"Inicialmente na fase Medir, quem não é familiar com os dados acaba tornando um decoreba! Gera bastante resistência! é outro Spot que terei que aprofundar! rs",Slot,Conteúdo
sem comentários,-,
Plataforma para de dar problema.,Geral,Plataforma
Seria incrível todo dia uma mentoria de carreira como hoje,Geral,Suporte dnc
ds,-,
N.a,-,
Trocar o aplicativo de grupo das dinâmicas o Jitsi,Day,Sistemas
"Palestras sempre, mas tempo mais curto, rs.",Day,Estrutura
"Tempo final tem que ser respeitado, as dinâmicas de hoje acabaram de forma rápida, esperamos um bom tempo para retornar e a palestra no final do dia de hoje poderia ser um vídeo no slot.",Day,Carga horária
"Sinceramente nada, ao meu ver não tenho reclamações até o momento",-,
Nada,-,
"Tudo ótimo até o momento
",-,
Senti falta de material em pdf para consulta e também dos gabaritos das atividades.,Slot,Materiais
"Valeu!!!

",-,
N/A,-,
"Sem comentário
",-,
Diminuir tempo dos vídeos,Slot,Vídeoaulas
ate o momento nota 10,-,
Sem comentarios.,-,
"Dividir o tempo dos Days, ter um tempo padrão pra todos, fica bem cansativos os days pares.",Day,Carga horária
HORÁRIO DO TÉRMINO DO CURSO.,Day,Carga horária
"No geral estou gostando  do curso, mas acredito que aproveitaria mais se não trabalhasse o dia inteiro, e tivesse mais tempo para me dedicar. Pensando nisso, pensem em não ser tão repetitivos nas vídeo-aulas. 

Aulas mais curtas e com mais exemplos práticos.  ",Day,Carga horária
"No geral estou gostando  do curso, mas acredito que aproveitaria mais se não trabalhasse o dia inteiro, e tivesse mais tempo para me dedicar. Pensando nisso, pensem em não ser tão repetitivos nas vídeo-aulas. 

Aulas mais curtas e com mais exemplos práticos.  ",Slot,Vídeoaulas
Os feedbacks as vezes atrasa um pouco,Geral,Suporte dnc
"Por enquanto, apenas o que coloquei nos ultimos feedbacks",-,
esta tudo indo bem mais o proximo slot ja poderia ser liberar no sabado ao final do day,Slot,Carga horária
Das dinâmicas,Day,Dinâmicas
"Vocês poderiam desenvolver uma cartilha de execicios por cada fase do projeto, tipo um simulado com informações fundamentais que não podemos esquecer para ter sucesso na construção da etapa. Sinto falta de exercios, muitos exercios.",Slot,Exercício
.,-,
Mais tempo por slot,Slot,Carga horária
Tempo curto,Day,Carga horária
bom,-,
Não tenho ideias a acrescentar,-,
"Até agora gostei de tudo, não tenho nada a melhorar no curso.",-,
"No dia de hoje, dá uma breve resumo do que se passou",Day,Estrutura
"O que eu sinto mais de dificuldade agora é o tempo pra realizar as aulas e as tarefas do projeto. Sinto que a empresa do projeto não está acompanhando o ritmo de entregas e fazem as coisas no tempo deles. Já aconteceu de algumas vezes eles não aceitarem ideias nossas por falta de disponibilidade e muitas vezes parece que eles querem limitar o projeto, colocam muitas restrições.
Por isso, essa entrega do medir nós tivemos poucos dados e não conseguimos extrair muita coisa, por isso preocupa para as próximas entregas. ",Slot,Carga horária
"O que eu sinto mais de dificuldade agora é o tempo pra realizar as aulas e as tarefas do projeto. Sinto que a empresa do projeto não está acompanhando o ritmo de entregas e fazem as coisas no tempo deles. Já aconteceu de algumas vezes eles não aceitarem ideias nossas por falta de disponibilidade e muitas vezes parece que eles querem limitar o projeto, colocam muitas restrições.
Por isso, essa entrega do medir nós tivemos poucos dados e não conseguimos extrair muita coisa, por isso preocupa para as próximas entregas. ",Projeto,Problemas com a empresa
Sem comnetários,-,
"Talvez, disponibilizar mais exemplos ou estudos de casos de diversas áreas ou até exemplos mais complexos. Acho que seria interessante, principalmente pra essa etapa do medir e analisar, uma mentoria (estilo revisão) com alguém resolvendo um case junto com a gente.",Slot,Conteúdo
"Talvez, disponibilizar mais exemplos ou estudos de casos de diversas áreas ou até exemplos mais complexos. Acho que seria interessante, principalmente pra essa etapa do medir e analisar, uma mentoria (estilo revisão) com alguém resolvendo um case junto com a gente.",Day,Estrutura
-,-,
"A Day de hoje foi meio sem sentido, de cara não houve o ressumo padrão antes do Kahoot. A dinâmica hoje poderia ser facilmente um assigment, não vi necessidade de passar a manhã de sábado para fazer essa dinâmica individual. Hoje senti que perdi meu tempo hoje. E sobre o projeto, eu sinto que quando temos duvidas, as respostas são sempre padronizadas, como uma receita de bolo, não me sinto ajudado quando temos problemas quanto ao projeto.",Day,Dinâmica
"A Day de hoje foi meio sem sentido, de cara não houve o ressumo padrão antes do Kahoot. A dinâmica hoje poderia ser facilmente um assigment, não vi necessidade de passar a manhã de sábado para fazer essa dinâmica individual. Hoje senti que perdi meu tempo hoje. E sobre o projeto, eu sinto que quando temos duvidas, as respostas são sempre padronizadas, como uma receita de bolo, não me sinto ajudado quando temos problemas quanto ao projeto.",Projeto,Suporte projeto
"Eu tive dificuldades para assimilar quais dados organizar para conseguir fazer as medições no minitab.  Também não consigo instalar o minitab no computador do trabalho e o minitab online não aceita colar os dados do excel, ter a worksheet já pronta nos faria focar mais na ideia em si da dinâmica. perdi muito tempo para puxar os dados do Excel.",Day,Sistemas
Disponibilizar os power points que são utilizados nas aulas seria muito bom.,Slot,Conteúdos
.,-,
Por enquanto o curso está atendendo muito bem minhas expectativas. Aprendendo demais!,-,
Não tenho recomendação de melhoria. Mas como sugestão o acesso a gravação do DAY ajudaria reforçar o aprendizado,Slot,Conteúdos
Quebrar mais os Spots de Medir e principalmente Analisar!,Slot,Carga horária
Algumas aulas ao vivo na utilização de software como Excel e minitab,Day,Conteúdos
Sobre a aula de hj nada,-,
"Seria bacana se cada grupo tivesse um mentor de projetos fixo que pudesse recorrer, sei que talvez exista muitos grupos e poucos mentores mas se existisse alguma possibilidade de organizar e conciliar isso seria perfeito.",Projeto,Suporte projeto
"Quebrar mais o conteúdo, é muito apertado dentro dos slots",Slot,Carga horária
Buscar aulas,Geral,Plataforma
Bom,-,
Os days precisam terminar no horário certo e não ficar estendendo como acontece todas as vezes. Isso impacta em nossa rotina.,Day,Carga Horária
explicar mais,Day,Conteúdo
.,-,
"Mais ""palestras"". As vezes alguns convidados usam linguajar rebuscado demais, rs.",Day,Estrutura
"Mais ""palestras"". As vezes alguns convidados usam linguajar rebuscado demais, rs.",Geral,Comunicação
