melhorar,cluster,micro
"A primeira parte da aula foi bem ruim, a turma ficou desesperada no chat, a abordagem de backend foi muito superficial, e os instrutor não soube conduzir muito bem. A segunda parte foi bem legal fazendo a parte pratica. ",Day,Conteúdo
"A aula de código ao vivo tem que ser um pouco mais estruturada o pensamento de como vai fluir a codagem, para ficar mais claro, assim como foi feito na explicação do Slot.
E a apresentação incial (ppt) poderia ser um pouco mais ""ensaiado"" com o consultor, para ficar mais fluido.",Day,Estrutura
Preparar melhor o conteúdo prático para que o consultor seja mais ágil,Day,Consultor day
"tal vez pensar mais como guiar pessoas sem conhecimento em html CSS entender e ir aos poucos, acho que foi bom até o momento, mas ainda da para melhorar, a gente ficava perdido facilmente, sem a dani não daria para acompanhar",Day,Dinâmica
Compartilhar o código para que todos possam ver e altera-lo,Day,Conteúdo
"Esse encontro foi muito rápido e poderia ser mais didático. 

É um conteúdo realmente mais delicado e pode ser quebrado até em mais de um encontro. ",Day,Estrutura
"Esse encontro foi muito rápido e poderia ser mais didático. 

É um conteúdo realmente mais delicado e pode ser quebrado até em mais de um encontro. ",Day,Consultor day
Nivelamento do grupo,Day,Estrutura
"Tem um ótimo carisma porém o domínio técnico não condiz com o que foi ofertado no curso, tal como sinalizar as heurísticas de Nielsen sendo usadas pelo desenvolvedor e informando que jQuery é uma linguagem e não uma biblioteca.
São pequenos pontos de atenção que para pessoas que estão iniciando e entendendo cada um dos conceitos fica confuso no futuro.",Day,Consultor day
"No caso do André, técnica mil, mas didatica deve um pouco.
Parece que não tinha conhecimento dos slides antes da apresentação.",Day,Consultor day
"Eu achei o consultor de hoje muito querido e disposto, mas achei a didática um pouco a desejar. 
No meu caso, eu absorvi muito pouca coisa porque ficou corrido acompanhar e tentar fazer, meio sem entender o que eu estava fazendo.
Foi comentado sobre banco de dados, API... e que vamos ver mais pra frente, mas se é pra falar muito superficialmente sobre as coisas, acho que vale esperar e falar somente quando chegar a hora, porque com a explicação superficial não dá realmente pra entender e fica mais confuso. Acho que poderia ter sido mais lenta as explicações se os demais tópicos não tivessem sido abordados. 

",Day,Consultor day
"Eu achei o consultor de hoje muito querido e disposto, mas achei a didática um pouco a desejar. 
No meu caso, eu absorvi muito pouca coisa porque ficou corrido acompanhar e tentar fazer, meio sem entender o que eu estava fazendo.
Foi comentado sobre banco de dados, API... e que vamos ver mais pra frente, mas se é pra falar muito superficialmente sobre as coisas, acho que vale esperar e falar somente quando chegar a hora, porque com a explicação superficial não dá realmente pra entender e fica mais confuso. Acho que poderia ter sido mais lenta as explicações se os demais tópicos não tivessem sido abordados. 

",Day,Estrutura
"Eu achei o consultor de hoje muito querido e disposto, mas achei a didática um pouco a desejar. 
No meu caso, eu absorvi muito pouca coisa porque ficou corrido acompanhar e tentar fazer, meio sem entender o que eu estava fazendo.
Foi comentado sobre banco de dados, API... e que vamos ver mais pra frente, mas se é pra falar muito superficialmente sobre as coisas, acho que vale esperar e falar somente quando chegar a hora, porque com a explicação superficial não dá realmente pra entender e fica mais confuso. Acho que poderia ter sido mais lenta as explicações se os demais tópicos não tivessem sido abordados. 

",Day,Conteúdo
"Acho que a parte de código poderia ser feita com mais calma, recapitulando o que foi aprendido na aula, relembrando o funcionamento das tags, explicar como o navegador interpreta o html e css.",Day,Estrutura
"Sou desenvolvedora, então entendo que eu tenha muito mais facilidade com o conteúdo, porém basicamente tudo o que o André mostrou estava nas aulas do último slot com vídeos curtos e muito bem explicados pelo João.
Por esse motivo achei a aula de hoje um pouco repetitiva. O André parece saber muito, e assim como qualquer outro desenvolvedor não codifica exatamente como ao João, e talvez isso tenha trazido um pouco de confusão. Porém, se a aula ficar disponível para acesso futuro e a gente tiver acesso ao código, acho que a aula poderia ter sido um pouco mais fluida, com a Dani e a Malu respondendo no chat e o André construindo o site.",Day,Conteudo
"Sou desenvolvedora, então entendo que eu tenha muito mais facilidade com o conteúdo, porém basicamente tudo o que o André mostrou estava nas aulas do último slot com vídeos curtos e muito bem explicados pelo João.
Por esse motivo achei a aula de hoje um pouco repetitiva. O André parece saber muito, e assim como qualquer outro desenvolvedor não codifica exatamente como ao João, e talvez isso tenha trazido um pouco de confusão. Porém, se a aula ficar disponível para acesso futuro e a gente tiver acesso ao código, acho que a aula poderia ter sido um pouco mais fluida, com a Dani e a Malu respondendo no chat e o André construindo o site.",Day,Conteúdo
A aula pareceu um pouco corrida.,Day,Carga horária
"Velocidade das aulas poderiam ser um pouco mais lenta dado a dificuldade da matéria, digo pelas aulas de programação e exercícios em aula.",Day,Carga horária
"Dei nota oito, pois achei que algumas partes foram um pouco corridas e quem não tem muito conhecimento fica meio perdido. Principalmente por não saber o que alguns dos termos usador serão utilizados",Day,Carga horária
Alinhar o ritmo para os alunos que não tem a experiência prévia no assunto,Day,Estrutura
Poderia começar a aula ja com a atividade pratica,Day,Estrutura
"Em relação a aula de hoje, por tratar-se de aula ao vivo com pratica de desenvolvimento de site, não obtive muito aproveitamento, visto que achei complicado acompanhar a aula e digitar os códigos sem poder pausar a aula. ",Day,Estrutura
"Mais tempo no slot 2, pois na programação da rotina diária é pesado.",Slot,Carga horária slot
Ferramenta de perguntas,Day,Sistemas
Talvez habilitar a função de Q&A do zoom ajude a que algumas questões não fiquem perdidas no chat.,Day,Sistemas
"O André foi muito acelerado hoje, um pouco mais de didática seria melhor.",Day,Consultor day
"Nota de 06 hoje, pq fiquei bem perdida na parte hoje de HTML, como o curso está mesclado de nível de conhecimento 

Não recomendaria para quem não tem o conhecimento mesmo que básico em tech. 

Vai ser desafiador fazer a atividade individual sábado.",Day,Estrutura
"As aulas de html e css, pra quem está começando, são muito mais proveitosas quando feitas de forma assíncrona, uma vez que é possível pausar, voltar, revisar. Como já temos essa possibilidade, não entendi o porquê de termos o mesmo conteúdo ao vivo, sendo que é muito difícil de acompanhar. Como sugestão, em vez de uma aula ao vivo somente copiando código, seria legal ir lançando o desafio ponto a ponto, dando um tempo para concluir e, depois, vir com a explicação. Não exatamente dessa forma, mas com esse conceito.",Day,Estrutura
Aulas práticas com muita gente sempre é mais complicado pelo fato de termos níveis diferentes. Mas no geral foi muito bom!,Day,Estrutura
Hoje foi simplesmente horrível (didática + prática),Day,Day consultor
"Consultor com muito conhecimento técnico, mas falta um pouco de didática para que o pessoal que não é tech possa conseguir acompanhar aula com mais facilidade.",Day,Day consultor
"Eu acredito que possa melhorar as dinâmicas de aula. Como a classe tem muita gente, fica difícil atender todo mundo e fazer que todos sigam o mesmo ritmo",Day,Dinâmicas
"Nesta aula em específico, o tempo foi bem apertado para nivelamento entre a turma e o consultor.",Day,Carga horária
"Acho que o código poderia ser disponibilizado na integra em alguns touchpoints, ao invés do pessoal ir copiando meio correndo. O meu por ex. não funcionou em algumas partes, apesar de parecer estar certinho vs os prints",Day,Materiais
Acho que seria melhor aproveitado se fosse gravado e depois só tirassemos as duvidas juntos posteriormente,Day,Disponibilizar gravação
-,-,
NA,-,
parte de suporte,Geral,Suporte dnc
tudo top.,-,
O curso é otimo,-,
reduzir o tempo das dinamicas;,Day,Carga horária
Nessa etapa está perfeito,-,
...,-,
Acho que os days são muito longos e chega uma hora que a cabeça não consegue acompanhar.,Day,Carga horária
.,-,
As dinâmicas,Day,Dinâmicas
Poderiam Diminuir a carga horária do Day :(,Day,Carga horária
Criar um app da DNC,Geral,Plataforma
"os days são muito cansativos! poderia ser 1 dinamica e um ""aulão"" ou algo do genero ",Day,Carga horária
Diluição do conteúdo em tempo de curso,Geral,Carga horária
"O curso leva muitas coisas como verdades absolutas e sabemos que muitas vezes não são, não tenho nível técnico em todas as áreas abordadas, porém no que possuo notei isso. Feedback que não é só meu mas de muitas pessoas do meu grupo. ",Geral,Comunicação
"Projeto integrado. Muitas dificuldades com sponsors, execução dos testes, tempo de execução..",Projeto,Problemas com a empresa
Acho alguns vídeos muito básicos. Sinto falta de aulas online ensinando mexer em ferramentas,Slot,Vídeoaulas
Alguns cortes de umas aulas apenas.,Slot,Vídeoaulas
.,-,
"A plataforma tem apresentado alguns erros.
Por exemplo: 
às vezes demoro para conseguir fazer login e não imprime nenhuma mensagem para o usuário. Não sei se coloquei senha errada, se é erro do site. Seria bom se aparecesse na tela algo do tipo. ",Geral,Plataforma
N/A,-,
As vezes o site é um pouco difícil de usar,Geral,Plataforma
até agora esta fera,-,
inserir campo de procurar pela aula na plataforma,Geral,Plataforma
Tudo legal até agora,-,
.,-,
Por enquanto nada a declarar.,-,
Linguagem mais simples,Geral,Comunicação
suporte aos grupos em relação ao projeto,Projeto,Suporte projeto
Não vejo ainda.,-,
ate o momento os Days tem sido muito bons.,-,
Foi top,-,
.,-,
"No momento, tudo ok para mim.",-,
A logisitica de tempo para atividades,Day,Carga horária
não precisar logar toda vez pra responder quiz,Geral,Plataforma
"Por agora, nada.",-,
"A plataforma apresenta alguns erros, se fossem corrigidos, seria o ideal.",Geral,Plataforma
App de conexão com grupos durante days,Day,Sistemas
Não consigo pensar em nada no momento,-,
"processo de aula 
zoom e horrível",Day,Sistemas
ok,-,
"Estava perdida com o tanto de atividades, acredito que chego lá. Não sei se é uma dificuldade só minha. Mas as vezes não consigo finalizar tudo, algumas atividades estão atrasadas. Ainda não sei se reduzir o ritmo ou se realmente faz parte do projeto.",Geral,Carga horária
"Levando em consideração o projeto, eu acho que ele deveria ser mais direcionado num sentido de termos uma pessoa orientando desde o início, exemplo, marcamos a primeira reunião para diagnóstico sem entendermos de fato, sobre alguns conceitos que seriam de extrema importância nesse primeiro contato. Dividimos os papéis do grupo sem entendermos de fato como utilizar o framework do Scrum. Talvez o projeto devesse ser iniciado à partir do terceiro Day.",Projeto,Suporte projeto
"A aula de Scrum estava confusa, falava de algo em uma aula e só ia explicar 10 aulas pra frente, isso quebrava o raciocínio. Vi que foi uma questão geral, talvez o conhecimento seja grande, mas a didática não ficou tão bom. Outra questão falta acompanhamento no projeto, perguntei uma coisa no slack e ficou sem resposta.",Slot,Vídeoaulas
"A aula de Scrum estava confusa, falava de algo em uma aula e só ia explicar 10 aulas pra frente, isso quebrava o raciocínio. Vi que foi uma questão geral, talvez o conhecimento seja grande, mas a didática não ficou tão bom. Outra questão falta acompanhamento no projeto, perguntei uma coisa no slack e ficou sem resposta.",Projeto,Suporte projeto
"o módulo do Scrum, não gostei nem um pouco.",Slot,Vídeoaulas
"- Sobre o módulo de scrum, acho que seria muito importante termos uma atividade no assigment de fazer o Burndown Chart e Velocity Chart pois na dinâmica foi o que apresentou maior dificuldade!
 
 - As pessoas entram nas dinâminas muito perdido, seria legal se o facilitador fizesse também toda vez um recapitulação do que é para fazer pois se perde muito tempo só para o time se contextualizar.",Slot,Exercícios
"- Sobre o módulo de scrum, acho que seria muito importante termos uma atividade no assigment de fazer o Burndown Chart e Velocity Chart pois na dinâmica foi o que apresentou maior dificuldade!
 
 - As pessoas entram nas dinâminas muito perdido, seria legal se o facilitador fizesse também toda vez um recapitulação do que é para fazer pois se perde muito tempo só para o time se contextualizar.",Day,Dinâmica
"- Sobre o módulo de scrum, acho que seria muito importante termos uma atividade no assigment de fazer o Burndown Chart e Velocity Chart pois na dinâmica foi o que apresentou maior dificuldade!
 
 - As pessoas entram nas dinâminas muito perdido, seria legal se o facilitador fizesse também toda vez um recapitulação do que é para fazer pois se perde muito tempo só para o time se contextualizar.",Day,Facilitador
"Consegui fazer todos exercicios, mas demorei mais do que esperado pq tinha que entregar 10 e tinha 12 na lista",Slot,Exercícios
.,-,
Se for possível passar as explicações de forma mais clara e devagar ajuda quem está com bastante dificuldade.,Day,Consultor
No momento nada,-,
"melhorar a integração entre os assuntos dados nas aulas e como são resolvidos os exercícios nos days. Poderia ter também uma apostila para o curso, assim como tem em outras formações da DNC.",Day,Estrutura
"melhorar a integração entre os assuntos dados nas aulas e como são resolvidos os exercícios nos days. Poderia ter também uma apostila para o curso, assim como tem em outras formações da DNC.",Slot,Materiais
ótimo!,-,
Alguns conteúdos que foram cobrados no hackaton ou durante o day nós não vimos no material de estudos.,Day,Relação com as aulas do slot
"liberar mais listas de exercícios, mais resumos",Slot,Falta de exercícios
"Sobre consultor e Facilitadores do Day, todos foram ótimo, em especial adorei a Maria (fafcilitadora), mega gentil e atenciosa, me senti muito a vontade em falar com ela, principalmente porque eu estava bem perdida e ela ne ajudou muito com muita empatia

P.S. na minha pesquisa de satisfação ele só aparece em todos os questionários a pergunta: Em uma escala de 0 a 10, o quanto você recomendaria o CURSO (até o momento) para outras pessoas?..... Por isso eu não sei se estou escrevendo no local certo.",-,
.,-,
"Hoje o tempo foi mal calculado, acho que, se for olhar alguma coisa pra trás, precisa estar na agenda. ",Day,Carga horária
"Achei o Hackaton um pouco exagerado em termos de quantidade de atividades, mesmo eu tendo já um conhecimento prévio de Python. Poderia ter tido umas duas questões a menos, na minha opinião.",Day,Dinâmica
"Ter um exercício desafiador mas no caso ter uma competição com stress de tempo e hancking não parece ser motivadora. 
Vamos aprender por desespero e não com exemplos e aprendizado assistido ",Day,Dinâmica
"Talvez na parte da resolução das questões, fosse possível deixar  apresentação mais clara.",Day,Dinâmica
"De repente deixar mais claro pro pessoal os passos para começar os exercícios, pq notei hoje que muita gente demorou a começar por não saber mexer nas ferramentas ",Day,Dinâmica
"a única resalva que tenho é quanto ao conteúdo do slot 1, acho que quando vi as questões do day 2 não me senti preparado, me senti com medo, não consegui desenvolver o raciocínio das questões... enfim, acho que talvez, seria legal ter um modulo antes de introdução a lógica da programação rico em exercícios e focado em pessoas como eu "" mais devagar "", vou focar ao máximo e creio que irei conseguir até o fim do curso acompanhar os outros alunos.",Slot,Estrutura
"A forma como as questões são disponibilizadas durante as aulas, principalmente as de programação.",Slot,Exercícios
"a diferença é muito grande do conteudo do slot para o do day,",Day,Conteúdo
Acho que esse negocio de ranking nas atividades para quem esta começando é um pouco frustrante.,Day,Dinâmica
"Por hora, estou muito satisfeito",-,
Foi muito bom.,-,
"Esse daí com o dia completo é extremamente cansativo, acho que daria pra dividir melhor",Day,Carga horária
,-,
Poderia ter avisado o formato do evento com antecedência. Precisava ter estudado mais pra conseguir acompanhar. Sinto que não foi produtivo para mim participar,Day,Estrutura
o suporte para o aluno,Geral,Suporte dnc
,-,
MAIS TEMPO NOS EXERCICOS,Day,Dinâmica
Melhor explicação prévia das atividades,Day,Dinâmica
Acho que o nível de complexidade dos conteúdos pode ser escalado mais lentamente. Digo isso pois a grande maioria dos alunos não conseguiu desenvolver bem as tarefas do Hackathon no Day 2.,Day,Dinâmica
N/A,-,
Estátudo ótimo,-,
está ótimo!,-,
,-,
Mais atividades para fins de treino de sintaxe e de lógica,Slot,Exercícios
NA,-,
Exercícios bem complicados pra ínicio.,Day,Conteúdo
N/A,-,
"quantidade de exercícios x tempo de resolução, talvez seja possível resolver todos. ",Slot,Exercícios
"A quantidade de atividades do hackaton são muitas para o tempo que tivemos. Muita gente não conseguiu finalizar em função do tempo. Eu acho que os materiais de apoio podem melhorar, como apostilas, etc.
Se pudessem incluir o tempo das aulas, ao lado dos títulos, sem precisarmos iniciar os vídeos para sabermos, facilitaria a nossa organização de estudos.",Day,Dinâmica
Por enquanto sem sugestões.,-,
"Contunuo achando que o tempo para as tarefas é pequeno, uma vez que sou MUITO devagar",Day,Dinâmica
Resolução de todos os exercícios,Slot,Exercícios
Facilitar o cancelamento do curso com devolução de parte do dinheiro.,Geral,Suporte dnc
Está ótimo dessa forma.,-,
"O slot nao preparou muito pros exercicios do day.(O day teve conceitos q nao havia no slot);

Mas o conteudo q teve no slot e o consultor Everton foram muito bons;

Seria legal se o consultor do slot, o desse foi o Everton, estivesse no day tambem;

Didaticamente acho q o consultor do day nao estava preparado para resolver as questoes. Nao que ele nao tenha conhecimento, mas me pareceu q ele pegou as questoes para resolver de bate pronto. Acho q as resolucoes deveriam estar preparadas de antemao para nao tomar tanto o tempo fazendo por tentativa e erro.

Nas aulas graavadas nao houve esse problema (claro, pq foram gravadas)
Mas justamente pelo maior preparo de antemao q as aulas foram melhoree q as explicoes do day.",Day,Consultor day
-,-,
Aumentar o número de consultores seria bem legal,Day,Consultor day
As resoluções dos exercícios dos assignments foram muitos superficiais.,Slot,Assignment
A didática de ensino.,Slot,Didática
Muita coisa tratada no day não é trabalhada no slot,Day,Estrutura
por enquanto tudo beleza,-,
"Fortalecer a Introdução dos assuntos mais técnicos de uma maneira mais lenta, para que todos consigam acompanhar o raciocínio.",Slot,Videoaulas
"Seria interessante, disponibilizar algum material que ajude os alunos antes do DAY a se familiarizar com algumas tarefas que serão feitas durante o Day, por ex:  Subir arquivos para a mesma pasta no Colab, gerou erros e dúvidas. Os links que serão disponibilizados no dia, oque é.. para que serve. Para ficarmos menos perdidos rs. Creio que em outros Slots, teremos também tarefas e configurações, links ou ferramentas que não veremos na aula. Mas ajudaria muito já estarmos preparados sabendo o que vamos fazer. ",Day,Dinâmica
"Eu achei que foi um bocado corrido, eram varios exercicios e bem complexos, o tempo não foi o suficiente para terminar",Day,Dinâmica
Faltou uma instrução prévia para fazer os uploands dos arquivos no Google colab. Não tive dificuldade mas algumas pessoas relataram extrema dificultade o que atrasou e atrapalhou o decorrer do dia.,Day,Dinâmica
Fiquei perdidão no Hackaton ! (cry),Day,Dinâmica
tudo ótimo,-,
As questões do Hackaton não são bem escritas e nem os resultados do professor bateram exatamente com o que constava no form.,Day,Dinâmica
mais aulas presenciais,-,-
,-,
ta ótimo assim!,-,
"Senti um pouco de falta de preparo na hora da resolução dos exercícios, ele teria explicado muito melhor se já soubesse a resposta da questão",Day,Consultor day
"Acho que a explicação das questões no final ficou um pouco confusa, e pra quem tava passando mais dificuldade, nem tinha conseguido chegar nas únicas questões que foram resolvidas.",Day,Consultor day
nada em mente no momento,-,
Resolução de Cases do primeiro slot e passar mais exercícios,Slot,Exercícios
Gostei muito,-,
"Nesse day o que menos gostei foi a velocidade de como as coisas foram passadas. O consultor passou muito rápido as informações e ao meu ver com pouco didática. Não só a questão de usar termos técnicos que particularmente  não acho que seja um problema, mas o jeito de explicar para mim ficou muito superficial e sem muito apelo, principalmente se tratando de uma turma onde a maioria está realmente num nível inicial em python.",Day,Consultor day
Materiais didáticos(pdf) mais robustos e em bom formato para impressão.,Slot,Materiais
"Acho que os exercícios estão muito difíceis. Eu entendo que alguns devem ser mesmo para desafiar quem está em um nível mais avançado e até mesmo quem está no começo. Porém, como a maioria está muito difícil (não só os de hoje, mas os das aulas também), gera muita frustração e parece que a gente não aprendeu nada. Então, poderia ter mais exercícios para quem está começando, exercícios mais básicos, como os das explicações das aulas, por exemplo. Tenho tido tanta dificuldade que já pensei em desistir do curso algumas vezes, mas sou muito persistente e pelo que percebi hoje, a maioria está assim também.",Slot,Exercícios
"Eu gostaria de ver exercícios mais voltados para o mundo real. Posso estar enganado, mas achei que os exercícios não refletem o dia a dia. Pode ser que quando tivermos mais bagagem, isso mude",Slot,Exercícios
"Se possível deixar algumas coisas mais engatilhadas, muitas pessoas demoraram a conseguir iniciar os projetos e isso perde um bom tempo.",projeto,suporte projeto
Não tenho muito o que comentar pq não estava muito preparada para o Day 2.,-,-
"Os horários das mentorias. Não consigo acompanhar, pois é no momento que estou voltando do trabalho.",Geral,Suporte dnc
Mais Days,Day,Estrutura
,-,
"Nada por enquanto, nota 10!",-,
"Organização dos exercícios, atenção ao formular os enunciados pois alguns contêm muitos erros oq atrapalha. 
A formulação dos exercícios tem muita interpretação ambígua e isso é ruim e creio que não adiciona nada ao nosso conhecimento, muito pelo contrário, visto que é frustrante. Exercícios com enunciados mais limpos e diretos, sem pegadinhas desnecessárias, são o cenário ideal para um aprendizado melhor. ",Slot,Exercícios